								
Within each column, compare rows (simple effects within columns)								
								
Number of families	2							
Number of comparisons per family	15							
Alpha	0.05							
								
Tukey's multiple comparisons test	Mean Diff.	95.00% CI of diff.	Below threshold?	Summary	Adjusted P Value			
								
  0 h								
    ISS vs. CM	0.0008667	-0.04528 to 0.04701	No	ns	>0.9999			
    ISS vs. 10%TE	0.0001333	-0.04601 to 0.04628	No	ns	>0.9999			
    ISS vs. 20%TE	-0.0006000	-0.04675 to 0.04555	No	ns	>0.9999			
    ISS vs. 40%TE	-0.007333	-0.05348 to 0.03881	No	ns	0.9960			
    ISS vs. 60%TE	-0.003967	-0.05011 to 0.04218	No	ns	0.9998			
    CM vs. 10%TE	-0.0007333	-0.04688 to 0.04541	No	ns	>0.9999			
    CM vs. 20%TE	-0.001467	-0.04761 to 0.04468	No	ns	>0.9999			
    CM vs. 40%TE	-0.008200	-0.05435 to 0.03795	No	ns	0.9933			
    CM vs. 60%TE	-0.004833	-0.05098 to 0.04131	No	ns	0.9995			
    10%TE vs. 20%TE	-0.0007333	-0.04688 to 0.04541	No	ns	>0.9999			
    10%TE vs. 40%TE	-0.007467	-0.05361 to 0.03868	No	ns	0.9957			
    10%TE vs. 60%TE	-0.004100	-0.05025 to 0.04205	No	ns	0.9998			
    20%TE vs. 40%TE	-0.006733	-0.05288 to 0.03941	No	ns	0.9973			
    20%TE vs. 60%TE	-0.003367	-0.04951 to 0.04278	No	ns	>0.9999			
    40%TE vs. 60%TE	0.003367	-0.04278 to 0.04951	No	ns	>0.9999			
								
  19 h								
    ISS vs. CM	-0.3073	-0.3535 to -0.2612	Yes	****	<0.0001			
    ISS vs. 10%TE	-0.3563	-0.4025 to -0.3102	Yes	****	<0.0001			
    ISS vs. 20%TE	-0.4923	-0.5385 to -0.4462	Yes	****	<0.0001			
    ISS vs. 40%TE	-0.8833	-0.9295 to -0.8372	Yes	****	<0.0001			
    ISS vs. 60%TE	-0.9963	-1.042 to -0.9502	Yes	****	<0.0001			
    CM vs. 10%TE	-0.04900	-0.09515 to -0.002852	Yes	*	0.0329			
    CM vs. 20%TE	-0.1850	-0.2311 to -0.1389	Yes	****	<0.0001			
    CM vs. 40%TE	-0.5760	-0.6221 to -0.5299	Yes	****	<0.0001			
    CM vs. 60%TE	-0.6890	-0.7351 to -0.6429	Yes	****	<0.0001			
    10%TE vs. 20%TE	-0.1360	-0.1821 to -0.08985	Yes	****	<0.0001			
    10%TE vs. 40%TE	-0.5270	-0.5731 to -0.4809	Yes	****	<0.0001			
    10%TE vs. 60%TE	-0.6400	-0.6861 to -0.5939	Yes	****	<0.0001			
    20%TE vs. 40%TE	-0.3910	-0.4371 to -0.3449	Yes	****	<0.0001			
    20%TE vs. 60%TE	-0.5040	-0.5501 to -0.4579	Yes	****	<0.0001			
    40%TE vs. 60%TE	-0.1130	-0.1591 to -0.06685	Yes	****	<0.0001			
								
								
Test details	Mean 1	Mean 2	Mean Diff.	SE of diff.	N1	N2	q	DF
								
  0 h								
    ISS vs. CM	0.002500	0.001633	0.0008667	0.01493	3	3	0.08212	24.00
    ISS vs. 10%TE	0.002500	0.002367	0.0001333	0.01493	3	3	0.01263	24.00
    ISS vs. 20%TE	0.002500	0.003100	-0.0006000	0.01493	3	3	0.05685	24.00
    ISS vs. 40%TE	0.002500	0.009833	-0.007333	0.01493	3	3	0.6949	24.00
    ISS vs. 60%TE	0.002500	0.006467	-0.003967	0.01493	3	3	0.3759	24.00
    CM vs. 10%TE	0.001633	0.002367	-0.0007333	0.01493	3	3	0.06949	24.00
    CM vs. 20%TE	0.001633	0.003100	-0.001467	0.01493	3	3	0.1390	24.00
    CM vs. 40%TE	0.001633	0.009833	-0.008200	0.01493	3	3	0.7770	24.00
    CM vs. 60%TE	0.001633	0.006467	-0.004833	0.01493	3	3	0.4580	24.00
    10%TE vs. 20%TE	0.002367	0.003100	-0.0007333	0.01493	3	3	0.06949	24.00
    10%TE vs. 40%TE	0.002367	0.009833	-0.007467	0.01493	3	3	0.7075	24.00
    10%TE vs. 60%TE	0.002367	0.006467	-0.004100	0.01493	3	3	0.3885	24.00
    20%TE vs. 40%TE	0.003100	0.009833	-0.006733	0.01493	3	3	0.6380	24.00
    20%TE vs. 60%TE	0.003100	0.006467	-0.003367	0.01493	3	3	0.3190	24.00
    40%TE vs. 60%TE	0.009833	0.006467	0.003367	0.01493	3	3	0.3190	24.00
								
  19 h								
    ISS vs. CM	0.003667	0.3110	-0.3073	0.01493	3	3	29.12	24.00
    ISS vs. 10%TE	0.003667	0.3600	-0.3563	0.01493	3	3	33.76	24.00
    ISS vs. 20%TE	0.003667	0.4960	-0.4923	0.01493	3	3	46.65	24.00
    ISS vs. 40%TE	0.003667	0.8870	-0.8833	0.01493	3	3	83.70	24.00
    ISS vs. 60%TE	0.003667	1.000	-0.9963	0.01493	3	3	94.41	24.00
    CM vs. 10%TE	0.3110	0.3600	-0.04900	0.01493	3	3	4.643	24.00
    CM vs. 20%TE	0.3110	0.4960	-0.1850	0.01493	3	3	17.53	24.00
    CM vs. 40%TE	0.3110	0.8870	-0.5760	0.01493	3	3	54.58	24.00
    CM vs. 60%TE	0.3110	1.000	-0.6890	0.01493	3	3	65.28	24.00
    10%TE vs. 20%TE	0.3600	0.4960	-0.1360	0.01493	3	3	12.89	24.00
    10%TE vs. 40%TE	0.3600	0.8870	-0.5270	0.01493	3	3	49.93	24.00
    10%TE vs. 60%TE	0.3600	1.000	-0.6400	0.01493	3	3	60.64	24.00
    20%TE vs. 40%TE	0.4960	0.8870	-0.3910	0.01493	3	3	37.05	24.00
    20%TE vs. 60%TE	0.4960	1.000	-0.5040	0.01493	3	3	47.76	24.00
    40%TE vs. 60%TE	0.8870	1.000	-0.1130	0.01493	3	3	10.71	24.00
