								
Compare cell means with others in its row and its column								
								
Number of families	7							
Number of comparisons per row family	1							
Number of comparisons per column family	10							
Alpha	0.05							
								
Tukey's multiple comparisons test	Mean Diff.	95.00% CI of diff.	Below threshold?	Summary	Adjusted P Value			
								
  ISS								
    0 h vs. 15 h	-0.0006333	-0.1154 to 0.1141	No	ns	0.9909			
								
  CM								
    0 h vs. 15 h	-0.5552	-0.6699 to -0.4405	Yes	****	<0.0001			
								
  20%TE								
    0 h vs. 15 h	-0.4100	-0.5247 to -0.2952	Yes	****	<0.0001			
								
  40%TE								
    0 h vs. 15 h	-0.5659	-0.6806 to -0.4511	Yes	****	<0.0001			
								
  60%TE								
    0 h vs. 15 h	-0.4688	-0.5836 to -0.3541	Yes	****	<0.0001			
								
  0 h								
    ISS vs. CM	-0.007533	-0.1721 to 0.1570	No	ns	>0.9999			
    ISS vs. 20%TE	-0.005433	-0.1700 to 0.1591	No	ns	>0.9999			
    ISS vs. 40%TE	-0.006867	-0.1714 to 0.1577	No	ns	>0.9999			
    ISS vs. 60%TE	-0.007233	-0.1718 to 0.1573	No	ns	>0.9999			
    CM vs. 20%TE	0.002100	-0.1625 to 0.1667	No	ns	>0.9999			
    CM vs. 40%TE	0.0006667	-0.1639 to 0.1652	No	ns	>0.9999			
    CM vs. 60%TE	0.0003000	-0.1643 to 0.1649	No	ns	>0.9999			
    20%TE vs. 40%TE	-0.001433	-0.1660 to 0.1631	No	ns	>0.9999			
    20%TE vs. 60%TE	-0.001800	-0.1664 to 0.1628	No	ns	>0.9999			
    40%TE vs. 60%TE	-0.0003667	-0.1649 to 0.1642	No	ns	>0.9999			
								
  15 h								
    ISS vs. CM	-0.5621	-0.7267 to -0.3975	Yes	****	<0.0001			
    ISS vs. 20%TE	-0.4148	-0.5793 to -0.2502	Yes	****	<0.0001			
    ISS vs. 40%TE	-0.5721	-0.7367 to -0.4075	Yes	****	<0.0001			
    ISS vs. 60%TE	-0.4754	-0.6400 to -0.3109	Yes	****	<0.0001			
    CM vs. 20%TE	0.1473	-0.01724 to 0.3119	No	ns	0.0932			
    CM vs. 40%TE	-0.01000	-0.1746 to 0.1546	No	ns	0.9997			
    CM vs. 60%TE	0.08667	-0.07791 to 0.2512	No	ns	0.5286			
    20%TE vs. 40%TE	-0.1573	-0.3219 to 0.007240	No	ns	0.0653			
    20%TE vs. 60%TE	-0.06067	-0.2252 to 0.1039	No	ns	0.8029			
    40%TE vs. 60%TE	0.09667	-0.06791 to 0.2612	No	ns	0.4238			
								
								
Test details	Mean 1	Mean 2	Mean Diff.	SE of diff.	N1	N2	q	DF
								
  ISS								
    0 h vs. 15 h	0.002600	0.003233	-0.0006333	0.05500	3	3	0.01629	20.00
								
  CM								
    0 h vs. 15 h	0.01013	0.5653	-0.5552	0.05500	3	3	14.28	20.00
								
  20%TE								
    0 h vs. 15 h	0.008033	0.4180	-0.4100	0.05500	3	3	10.54	20.00
								
  40%TE								
    0 h vs. 15 h	0.009467	0.5753	-0.5659	0.05500	3	3	14.55	20.00
								
  60%TE								
    0 h vs. 15 h	0.009833	0.4787	-0.4688	0.05500	3	3	12.06	20.00
								
  0 h								
    ISS vs. CM	0.002600	0.01013	-0.007533	0.05500	3	3	0.1937	20.00
    ISS vs. 20%TE	0.002600	0.008033	-0.005433	0.05500	3	3	0.1397	20.00
    ISS vs. 40%TE	0.002600	0.009467	-0.006867	0.05500	3	3	0.1766	20.00
    ISS vs. 60%TE	0.002600	0.009833	-0.007233	0.05500	3	3	0.1860	20.00
    CM vs. 20%TE	0.01013	0.008033	0.002100	0.05500	3	3	0.05400	20.00
    CM vs. 40%TE	0.01013	0.009467	0.0006667	0.05500	3	3	0.01714	20.00
    CM vs. 60%TE	0.01013	0.009833	0.0003000	0.05500	3	3	0.007714	20.00
    20%TE vs. 40%TE	0.008033	0.009467	-0.001433	0.05500	3	3	0.03686	20.00
    20%TE vs. 60%TE	0.008033	0.009833	-0.001800	0.05500	3	3	0.04629	20.00
    40%TE vs. 60%TE	0.009467	0.009833	-0.0003667	0.05500	3	3	0.009429	20.00
								
  15 h								
    ISS vs. CM	0.003233	0.5653	-0.5621	0.05500	3	3	14.45	20.00
    ISS vs. 20%TE	0.003233	0.4180	-0.4148	0.05500	3	3	10.67	20.00
    ISS vs. 40%TE	0.003233	0.5753	-0.5721	0.05500	3	3	14.71	20.00
    ISS vs. 60%TE	0.003233	0.4787	-0.4754	0.05500	3	3	12.23	20.00
    CM vs. 20%TE	0.5653	0.4180	0.1473	0.05500	3	3	3.789	20.00
    CM vs. 40%TE	0.5653	0.5753	-0.01000	0.05500	3	3	0.2571	20.00
    CM vs. 60%TE	0.5653	0.4787	0.08667	0.05500	3	3	2.229	20.00
    20%TE vs. 40%TE	0.4180	0.5753	-0.1573	0.05500	3	3	4.046	20.00
    20%TE vs. 60%TE	0.4180	0.4787	-0.06067	0.05500	3	3	1.560	20.00
    40%TE vs. 60%TE	0.5753	0.4787	0.09667	0.05500	3	3	2.486	20.00
